time_elapsed,valve_V1,valve_V2,valve_V3,furnaceTempSp,furnaceTemp,columnPres,columnLevel,defect_pump_fail,defect_coil_overheat,defect_valve_jam,accident_risk,status
16,1,0,0,150.0,118.71,0.3,59.58,0,0,0,0.0,running
17,1,0,0,150.0,118.43,0.306,60.17,0,0,0,1.67,running
18,1,0,0,150.0,118.0,0.313,60.75,0,0,0,3.61,running
19,1,0,0,150.0,117.71,0.32,61.35,0,0,0,5.56,running
20,1,0,0,150.0,117.51,0.327,61.94,0,0,0,7.5,running
21,1,0,1,220.0,122.87,0.335,62.08,0,0,0,9.72,running
22,1,0,1,220.0,127.41,0.343,62.26,0,0,0,11.94,running
23,1,0,1,220.0,131.34,0.351,62.45,0,0,0,14.17,running
24,1,0,1,220.0,134.78,0.358,62.64,0,0,0,16.11,running
25,1,0,1,220.0,137.94,0.366,62.79,0,0,0,18.33,running
26,1,0,1,220.0,140.62,0.375,62.97,0,0,0,20.83,running
27,1,0,1,220.0,142.78,0.382,63.14,0,0,0,22.78,running
28,1,0,1,220.0,144.74,0.39,63.33,0,0,0,25.0,running
29,1,0,1,220.0,146.58,0.399,63.49,0,0,0,27.5,running
30,1,0,1,220.0,148.13,0.407,63.64,0,0,0,29.72,running
31,1,0,1,220.0,149.47,0.416,63.81,0,0,0,32.22,running
32,1,0,1,220.0,150.6,0.425,63.98,0,0,0,34.72,running
33,1,0,1,220.0,151.66,0.434,64.15,0,0,0,37.22,running
34,1,0,1,220.0,152.68,0.443,64.33,0,0,0,39.72,running
35,1,0,1,220.0,153.39,0.451,64.47,0,0,0,41.94,running
36,1,0,1,220.0,153.93,0.46,64.61,0,0,0,44.44,running
37,1,0,1,220.0,154.34,0.468,64.76,0,0,0,46.67,running
38,1,0,1,220.0,154.81,0.477,64.9,0,0,0,49.17,running
39,1,0,1,220.0,155.35,0.487,65.04,0,0,0,51.94,accident
1,1,0,1,286.9,269.48,0.334,50.22,0,0,0,9.44,running
2,1,0,1,286.9,260.36,0.406,50.41,0,0,0,29.44,running
3,1,0,1,286.9,252.34,0.468,50.6,0,0,0,46.67,running
4,1,0,1,286.9,245.34,0.523,50.82,0,0,0,61.94,accident
1,1,0,1,283.2,269.44,0.333,50.22,0,0,0,9.17,running
2,1,0,1,283.2,260.04,0.406,50.43,0,0,0,29.44,running
3,1,0,1,283.2,251.73,0.467,50.63,0,0,0,46.39,running
4,1,0,1,283.2,244.84,0.52,50.84,0,0,0,61.11,accident
1,1,0,1,280.0,268.83,0.333,50.21,0,0,0,9.17,running
2,1,0,1,280.0,259.17,0.405,50.4,0,0,0,29.17,running
3,1,0,1,280.0,250.87,0.467,50.62,0,0,0,46.39,running
4,1,0,1,280.0,243.69,0.52,50.85,0,0,0,61.11,accident
1,1,0,1,280.0,269.1,0.334,50.21,0,0,0,9.44,running
2,1,0,1,280.0,259.68,0.406,50.41,0,0,0,29.44,running
3,1,0,1,280.0,251.24,0.468,50.61,0,0,0,46.67,running
4,1,0,1,280.0,243.99,0.522,50.8,0,0,0,61.67,accident
1,1,0,1,280.0,269.0,0.333,50.22,0,0,0,9.17,running
2,1,0,1,280.0,259.31,0.404,50.42,0,0,0,28.89,running
3,1,0,1,280.0,251.12,0.466,50.65,0,0,0,46.11,running
4,1,0,1,280.0,244.05,0.52,50.85,0,0,0,61.11,accident
1,1,0,1,280.0,268.91,0.333,50.23,0,0,0,9.17,running
2,1,0,1,280.0,259.22,0.405,50.45,0,0,0,29.17,running
3,1,0,1,280.0,250.91,0.466,50.68,0,0,0,46.11,running
4,1,0,1,280.0,243.83,0.518,50.87,0,0,0,60.56,accident
1,1,0,0,150.0,145.58,0.25,50.6,0,0,0,0.0,running
2,1,0,0,150.0,141.73,0.25,51.18,0,0,0,0.0,running
3,1,0,0,150.0,138.24,0.25,51.8,0,0,0,0.0,running
4,1,0,0,150.0,135.13,0.251,52.41,0,0,0,0.0,running
5,1,0,0,150.0,132.75,0.253,53.02,0,0,0,0.0,running
6,1,0,0,150.0,130.64,0.255,53.6,0,0,0,0.0,running
7,1,0,0,150.0,128.54,0.257,54.22,0,0,0,0.0,running
8,1,0,0,150.0,126.67,0.261,54.82,0,0,0,0.0,running
9,1,0,0,150.0,125.01,0.265,55.4,0,0,0,0.0,running
10,1,0,0,150.0,123.88,0.268,56.01,0,0,0,0.0,running
11,1,0,0,150.0,122.62,0.272,56.59,0,0,0,0.0,running
12,1,0,0,150.0,121.54,0.277,57.18,0,0,0,0.0,running
13,1,0,0,150.0,120.72,0.282,57.77,0,0,0,0.0,running
14,1,0,0,150.0,119.99,0.287,58.37,0,0,0,0.0,running
15,1,0,0,150.0,119.4,0.293,58.98,0,0,0,0.0,running
16,1,0,0,150.0,118.94,0.3,59.6,0,0,0,0.0,running
17,1,0,0,150.0,118.6,0.306,60.2,0,0,0,1.67,running
18,1,0,0,150.0,118.01,0.312,60.79,0,0,0,3.33,running
19,1,0,0,150.0,117.7,0.319,61.37,0,0,0,5.28,running
20,1,0,0,150.0,117.23,0.326,61.96,0,0,0,7.22,running
21,1,0,1,220.0,122.44,0.334,62.13,0,0,0,9.44,running
22,1,0,1,220.0,126.97,0.341,62.31,0,0,0,11.39,running
23,1,0,1,220.0,131.01,0.349,62.48,0,0,0,13.61,running
24,1,0,1,220.0,134.56,0.356,62.67,0,0,0,15.56,running
25,1,0,1,220.0,137.63,0.364,62.82,0,0,0,17.78,running
26,1,0,1,220.0,140.51,0.373,62.98,0,0,0,20.28,running
27,1,0,1,220.0,142.8,0.381,63.16,0,0,0,22.5,running
28,1,0,1,220.0,144.88,0.389,63.33,0,0,0,24.72,running
29,1,0,1,220.0,146.52,0.396,63.49,0,0,0,26.67,running
30,1,0,1,220.0,148.24,0.403,63.65,0,0,0,28.61,running
31,1,0,1,220.0,149.54,0.411,63.79,0,0,0,30.83,running
32,1,0,1,220.0,150.67,0.419,63.94,0,0,0,33.06,running
33,1,0,1,220.0,151.84,0.427,64.1,0,0,0,35.28,running
34,1,0,1,220.0,152.86,0.435,64.24,0,0,0,37.5,running
35,1,0,1,220.0,153.6,0.444,64.4,0,0,0,40.0,running
36,1,0,1,220.0,154.28,0.452,64.58,0,0,0,42.22,running
37,1,0,1,220.0,154.77,0.46,64.72,0,0,0,44.44,running
38,1,0,1,220.0,155.3,0.469,64.87,0,0,0,46.94,running
39,1,0,1,220.0,155.67,0.479,65.01,0,0,0,49.72,running
40,1,0,1,220.0,156.02,0.487,65.16,0,0,0,51.94,accident
1,1,0,1,280.0,269.02,0.332,50.21,0,0,0,8.89,running
2,1,0,1,280.0,259.49,0.404,50.42,0,0,0,28.89,running
3,1,0,1,280.0,251.32,0.467,50.65,0,0,0,46.39,running
4,1,0,1,280.0,244.18,0.521,50.84,0,0,0,61.39,accident
1,1,0,1,280.0,269.19,0.333,50.19,0,0,0,9.17,running
2,1,0,1,280.0,259.42,0.405,50.42,0,0,0,29.17,running
3,1,0,1,280.0,250.93,0.467,50.62,0,0,0,46.39,running
4,1,0,1,280.0,243.88,0.521,50.85,0,0,0,61.39,accident
1,1,0,0,150.0,145.61,0.251,50.59,0,0,0,0.0,running
2,1,0,0,150.0,141.69,0.252,51.19,0,0,0,0.0,running
3,1,0,0,150.0,138.29,0.253,51.8,0,0,0,0.0,running
4,1,0,0,150.0,135.22,0.254,52.41,0,0,0,0.0,running
5,1,0,0,150.0,132.82,0.255,53.01,0,0,0,0.0,running
6,1,0,0,150.0,130.75,0.257,53.6,0,0,0,0.0,running
7,1,0,0,150.0,128.62,0.26,54.21,0,0,0,0.0,running
8,1,0,0,150.0,127.04,0.262,54.82,0,0,0,0.0,running
9,1,0,0,150.0,125.69,0.265,55.41,0,0,0,0.0,running
10,1,0,0,150.0,124.19,0.269,56.03,0,0,0,0.0,running
11,1,0,0,150.0,123.1,0.273,56.63,0,0,0,0.0,running
12,1,0,0,150.0,122.21,0.278,57.25,0,0,0,0.0,running
13,1,0,0,150.0,121.27,0.283,57.87,0,0,0,0.0,running
14,1,0,0,150.0,120.68,0.287,58.49,0,0,0,0.0,running
15,1,0,0,150.0,119.86,0.293,59.1,0,0,0,0.0,running
16,1,0,0,150.0,119.19,0.3,59.7,0,0,0,0.0,running
17,1,0,0,150.0,118.67,0.307,60.31,0,0,0,1.94,running
18,1,0,0,150.0,118.28,0.313,60.91,0,0,0,3.61,running
19,1,0,0,150.0,117.95,0.319,61.53,0,0,0,5.28,running
20,1,0,0,150.0,117.72,0.326,62.12,0,0,0,7.22,running
21,1,0,1,220.0,122.96,0.334,62.3,0,0,0,9.44,running
22,1,0,1,220.0,127.51,0.341,62.47,0,0,0,11.39,running
23,1,0,1,220.0,131.66,0.349,62.62,0,0,0,13.61,running
24,1,0,1,220.0,135.23,0.357,62.77,0,0,0,15.83,running
25,1,0,1,220.0,138.35,0.364,62.92,0,0,0,17.78,running
26,1,0,1,220.0,141.13,0.372,63.1,0,0,0,20.0,running
27,1,0,1,220.0,143.25,0.38,63.28,0,0,0,22.22,running
28,1,0,1,220.0,145.3,0.387,63.46,0,0,0,24.17,running
29,1,0,1,220.0,147.16,0.394,63.61,0,0,0,26.11,running
30,1,0,1,220.0,148.78,0.402,63.79,0,0,0,28.33,running
31,1,0,1,220.0,150.21,0.411,63.95,0,0,0,30.83,running
32,1,0,1,220.0,151.34,0.42,64.1,0,0,0,33.33,running
33,1,0,1,220.0,152.38,0.429,64.27,0,0,0,35.83,running
34,1,0,1,220.0,153.07,0.437,64.41,0,0,0,38.06,running
35,1,0,1,220.0,153.86,0.447,64.55,0,0,0,40.83,running
36,1,0,1,220.0,154.57,0.457,64.7,0,0,0,43.61,running
37,1,0,1,220.0,154.9,0.467,64.86,0,0,0,46.39,running
38,1,0,1,220.0,155.46,0.476,65.02,0,0,0,48.89,running
39,1,0,1,220.0,155.88,0.486,65.16,0,0,0,51.67,accident
1,1,0,1,280.0,268.97,0.333,50.23,0,0,0,9.17,running
2,1,0,1,280.0,259.24,0.404,50.42,0,0,0,28.89,running
3,1,0,1,280.0,250.88,0.466,50.64,0,0,0,46.11,running
4,1,0,1,280.0,243.5,0.519,50.86,0,0,0,60.83,accident
1,1,0,1,280.0,268.84,0.333,50.22,0,0,0,9.17,running
2,1,0,1,280.0,259.4,0.404,50.45,0,0,0,28.89,running
3,1,0,1,280.0,250.99,0.466,50.68,0,0,0,46.11,running
4,1,0,1,280.0,243.79,0.52,50.88,0,0,0,61.11,accident
1,1,0,1,280.0,269.04,0.334,50.21,0,0,0,9.44,running
2,1,0,1,280.0,259.45,0.406,50.42,0,0,0,29.44,running
3,1,0,1,280.0,251.08,0.467,50.63,0,0,0,46.39,running
4,1,0,1,280.0,243.92,0.52,50.83,0,0,0,61.11,accident
1,1,0,1,274.5,268.65,0.333,50.23,0,0,0,9.17,running
2,1,0,1,274.5,258.57,0.403,50.45,0,0,0,28.61,running
3,1,0,1,274.5,249.86,0.463,50.65,0,0,0,45.28,running
4,1,0,1,274.5,242.35,0.515,50.84,0,0,0,59.72,accident
1,1,0,0,150.0,145.44,0.251,50.59,0,0,0,0.0,running
2,1,0,0,150.0,141.71,0.252,51.19,0,0,0,0.0,running
3,1,0,0,150.0,138.38,0.253,51.78,0,0,0,0.0,running
4,1,0,0,150.0,135.29,0.254,52.36,0,0,0,0.0,running
5,1,0,0,150.0,132.71,0.256,52.98,0,0,0,0.0,running
6,1,0,0,150.0,130.3,0.259,53.6,0,0,0,0.0,running
7,1,0,0,150.0,128.48,0.262,54.18,0,0,0,0.0,running
8,1,0,0,150.0,126.77,0.265,54.77,0,0,0,0.0,running
9,1,0,0,150.0,125.15,0.268,55.38,0,0,0,0.0,running
10,1,0,0,150.0,123.97,0.271,55.99,0,0,0,0.0,running
11,1,0,0,150.0,122.74,0.275,56.6,0,0,0,0.0,running
12,1,0,0,150.0,121.8,0.279,57.2,0,0,0,0.0,running
13,1,0,0,150.0,120.88,0.284,57.78,0,0,0,0.0,running
14,1,0,0,150.0,120.21,0.289,58.4,0,0,0,0.0,running
15,1,0,0,150.0,119.49,0.295,58.98,0,0,0,0.0,running
16,1,0,0,150.0,118.92,0.301,59.6,0,0,0,0.28,running
17,1,0,0,150.0,118.56,0.307,60.21,0,0,0,1.94,running
18,1,0,0,150.0,118.14,0.314,60.79,0,0,0,3.89,running
19,1,0,0,150.0,117.98,0.322,61.4,0,0,0,6.11,running
20,1,0,0,150.0,117.74,0.33,61.98,0,0,0,8.33,running
21,1,0,1,220.0,123.01,0.338,62.14,0,0,0,10.56,running
22,1,0,1,220.0,127.46,0.346,62.33,0,0,0,12.78,running
23,1,0,1,220.0,131.57,0.353,62.5,0,0,0,14.72,running
24,1,0,1,220.0,134.88,0.36,62.64,0,0,0,16.67,running
25,1,0,1,220.0,137.82,0.367,62.78,0,0,0,18.61,running
26,1,0,1,220.0,140.33,0.375,62.94,0,0,0,20.83,running
27,1,0,1,220.0,142.87,0.383,63.12,0,0,0,23.06,running
28,1,0,1,220.0,144.85,0.391,63.27,0,0,0,25.28,running
29,1,0,1,220.0,146.44,0.4,63.46,0,0,0,27.78,running
30,1,0,1,220.0,147.87,0.409,63.6,0,0,0,30.28,running
31,1,0,1,220.0,149.31,0.417,63.76,0,0,0,32.5,running
32,1,0,1,220.0,150.69,0.425,63.91,0,0,0,34.72,running
33,1,0,1,220.0,151.72,0.433,64.07,0,0,0,36.94,running
34,1,0,1,220.0,152.62,0.441,64.24,0,0,0,39.17,running
35,1,0,1,220.0,153.41,0.45,64.42,0,0,0,41.67,running
36,1,0,1,220.0,154.25,0.46,64.6,0,0,0,44.44,running
37,1,0,1,220.0,154.68,0.469,64.74,0,0,0,46.94,running
38,1,0,1,220.0,155.1,0.477,64.89,0,0,0,49.17,running
39,1,0,1,220.0,155.4,0.487,65.03,0,0,0,51.94,accident
1,1,0,0,150.0,145.3,0.251,50.6,0,0,0,0.0,running
2,1,0,0,150.0,141.31,0.251,51.18,0,0,0,0.0,running
3,1,0,0,150.0,137.97,0.252,51.77,0,0,0,0.0,running
4,1,0,0,150.0,135.03,0.253,52.37,0,0,0,0.0,running
5,1,0,0,150.0,132.61,0.255,52.95,0,0,0,0.0,running
6,1,0,0,150.0,130.39,0.257,53.54,0,0,0,0.0,running
7,1,0,0,150.0,128.51,0.259,54.16,0,0,0,0.0,running
8,1,0,0,150.0,126.63,0.262,54.74,0,0,0,0.0,running
9,1,0,0,150.0,125.1,0.265,55.32,0,0,0,0.0,running
10,1,0,0,150.0,123.85,0.269,55.92,0,0,0,0.0,running
